CASOS,DIA PANDEMIA,DIAS DEL ANIO,REGION,ETIQUETA
598,197,269,MEXICO,    C3
342,198,270,MEXICO,    C3
228,199,271,MEXICO,    C1
661,200,272,MEXICO,    C3
610,201,273,MEXICO,    C3
546,202,274,MEXICO,    C3
590,203,275,MEXICO,    C3
578,204,276,MEXICO,    C3
302,205,277,MEXICO,    C3
208,206,278,MEXICO,    C1
671,207,279,MEXICO,    C3
600,208,280,MEXICO,    C3
567,209,281,MEXICO,    C3
541,210,282,MEXICO,    C3
567,211,283,MEXICO,    C3
335,212,284,MEXICO,    C3
193,213,285,MEXICO,    C1
581,214,286,MEXICO,    C3
601,215,287,MEXICO,    C3
531,216,288,MEXICO,    C3
495,217,289,MEXICO,    C3
504,218,290,MEXICO,    C3
258,219,291,MEXICO,    C1
215,220,292,MEXICO,    C1
611,221,293,MEXICO,    C3
368,222,294,MEXICO,    C3
496,223,295,MEXICO,    C3
544,224,296,MEXICO,    C3
536,225,297,MEXICO,    C3
276,226,298,MEXICO,    C1
176,227,299,MEXICO,    C1
558,228,300,MEXICO,    C3
489,229,301,MEXICO,    C3
495,230,302,MEXICO,    C3
443,231,303,MEXICO,    C3
456,232,304,MEXICO,    C3
249,233,305,MEXICO,    C1
146,234,306,MEXICO,    C1
283,235,307,MEXICO,    C3
492,236,308,MEXICO,    C3
357,237,309,MEXICO,    C3
335,238,310,MEXICO,    C3
239,239,311,MEXICO,    C1
139,240,312,MEXICO,    C1
122,241,313,MEXICO,    C1
158,242,314,MEXICO,    C1
